UserID,Role,KnownSkills,RequiredSkills,RoleDescription
U100328,Mobile App Developer,"Xcode, Kotlin, React Native","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100329,DevOps Engineer,"CI/CD, Terraform, AWS, Docker","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100330,Mobile App Developer,"Kotlin, Swift, Java, Flutter","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100331,Business Analyst,"Stakeholder Management, SQL, Business Strategy, Tableau","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100332,Backend Developer,"PostgreSQL, REST APIs","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100333,AI Engineer,"Python, TensorFlow","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100334,Product Manager,"Analytics, User Stories, Roadmapping, MVP","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100335,Product Manager,"Wireframing, Roadmapping, User Stories, Analytics, MVP","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100336,Data Scientist,"Python, Pandas, TensorFlow","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100337,Database Administrator,"MySQL, MongoDB, Performance Tuning","SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100338,Business Analyst,"Tableau, Business Strategy, Power BI, Excel, SQL","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100339,Full Stack Developer,"Express.js, Node.js, MongoDB","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100340,Data Engineer,"SQL, Python","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100341,Backend Developer,"Spring Boot, Java, SQL, PostgreSQL","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100342,Blockchain Developer,"Web3.js, Solidity","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100343,Cybersecurity Analyst,"Threat Analysis, Firewalls","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100344,Frontend Developer,Redux,"HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100345,UI/UX Designer,"Figma, Prototyping, User Research, Wireframing, Sketch","Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100346,Mobile App Developer,"React Native, Kotlin, Flutter","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100347,Product Manager,"Stakeholder Communication, Roadmapping, MVP, Analytics","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100348,Blockchain Developer,Solidity,"Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100349,Business Analyst,"Excel, Tableau, Stakeholder Management, Power BI, SQL","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100350,Frontend Developer,"Redux, TypeScript","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100351,Frontend Developer,"CSS, React, JavaScript, Redux, TypeScript","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100352,QA Engineer,"Automation, JUnit, Manual Testing, Selenium","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100353,DevOps Engineer,Linux,"Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100354,Site Reliability Engineer,"Incident Management, Monitoring, Prometheus","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100355,Data Scientist,"SQL, Matplotlib, Scikit-learn, TensorFlow","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100356,QA Engineer,"Manual Testing, Selenium, Postman","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100357,DevOps Engineer,"AWS, Docker, Kubernetes","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100358,Data Scientist,"TensorFlow, Matplotlib","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100359,Backend Developer,"Hibernate, REST APIs, Spring Boot, SQL, PostgreSQL","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100360,Game Developer,"Game Physics, C#","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100361,UI/UX Designer,"User Research, Sketch, Wireframing, Figma, Adobe XD","Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100362,Product Manager,"Analytics, MVP, Stakeholder Communication, User Stories","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100363,Machine Learning Engineer,"Python, Scikit-learn, TensorFlow","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100364,Full Stack Developer,"MongoDB, React","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100365,Cloud Engineer,"Docker, IAM, AWS","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100366,QA Engineer,"Automation, TestNG, JUnit","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100367,Mobile App Developer,Flutter,"Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100368,Data Scientist,"Matplotlib, TensorFlow, Scikit-learn, Pandas, SQL","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100369,Site Reliability Engineer,"Kubernetes, Grafana","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100370,Data Scientist,"TensorFlow, SQL, Matplotlib, Scikit-learn","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100371,Database Administrator,MySQL,"SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100372,Data Engineer,"Airflow, Apache Spark, Hadoop, SQL","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100373,Machine Learning Engineer,Scikit-learn,"Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100374,DevOps Engineer,"Docker, Linux","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100375,Database Administrator,"MySQL, Performance Tuning, Backup & Recovery, MongoDB","SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100376,Frontend Developer,"React, TypeScript","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100377,AI Engineer,"Computer Vision, Python, TensorFlow, NLP","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100378,DevOps Engineer,"Docker, Terraform, AWS, CI/CD","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100379,Backend Developer,"SQL, PostgreSQL","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100380,Mobile App Developer,"Java, React Native","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100381,Site Reliability Engineer,"SLAs, Grafana, Incident Management","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100382,Blockchain Developer,"Truffle, Web3.js, Solidity, Smart Contracts","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100383,UI/UX Designer,"Figma, User Research, Sketch","Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100384,QA Engineer,TestNG,"Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100385,Database Administrator,"MongoDB, Performance Tuning","SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100386,Cloud Engineer,IAM,"AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100387,Frontend Developer,"TypeScript, HTML","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100388,Cybersecurity Analyst,Firewalls,"Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100389,Database Administrator,"Backup & Recovery, MongoDB","SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100390,AI Engineer,Python,"Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100391,Machine Learning Engineer,"Model Deployment, Python, PyTorch, Scikit-learn, MLflow","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100392,Data Engineer,"Python, Airflow, ETL, Apache Spark, Hadoop","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100393,Data Scientist,"Scikit-learn, TensorFlow, Pandas, SQL","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100394,Backend Developer,"Java, SQL, Spring Boot, REST APIs","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100395,Product Manager,"User Stories, Wireframing, Stakeholder Communication","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100396,AI Engineer,"Neural Networks, TensorFlow","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100397,Business Analyst,"Stakeholder Management, Business Strategy, Tableau, Excel, Power BI","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100398,Cloud Engineer,"Linux, Azure, IAM","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100399,Scrum Master,Retrospectives,"Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100400,Business Analyst,"Business Strategy, Power BI, Tableau, SQL, Stakeholder Management","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100401,DevOps Engineer,"CI/CD, Kubernetes","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100402,Frontend Developer,HTML,"HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100403,Frontend Developer,"TypeScript, JavaScript, Redux, React, CSS","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100404,Scrum Master,"Retrospectives, Team Facilitation","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100405,Database Administrator,"SQL, Performance Tuning","SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100406,Product Manager,MVP,"Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100407,Data Engineer,"Airflow, Hadoop","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100408,Blockchain Developer,"Truffle, Smart Contracts, Solidity, Web3.js","Solidity, Ethereum, Smart Contracts, Web3.js, Crypto Wallets, Truffle","Blockchain Developer is responsible for key tasks in software engineering involving Solidity, Ethereum, Smart Contracts and more."
U100409,AI Engineer,"Neural Networks, Deep Learning","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100410,Database Administrator,"Oracle, SQL","SQL, Oracle, Backup & Recovery, Performance Tuning, MySQL, MongoDB","Database Administrator is responsible for key tasks in software engineering involving SQL, Oracle, Backup & Recovery and more."
U100411,Product Manager,"MVP, Stakeholder Communication, Analytics, User Stories, Wireframing","Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100412,Game Developer,C#,"Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100413,Scrum Master,"Scrum, Agile, Sprint Planning, Retrospectives","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100414,Frontend Developer,Redux,"HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100415,Machine Learning Engineer,"Scikit-learn, TensorFlow","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100416,Backend Developer,"Spring Boot, PostgreSQL, SQL, REST APIs, Hibernate","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100417,Data Engineer,"ETL, Python","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100418,Site Reliability Engineer,"Grafana, Kubernetes, Prometheus","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100419,Mobile App Developer,"React Native, Java","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100420,Game Developer,"Blender, Game Physics, 3D Modeling, C#","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100421,Game Developer,"Blender, Unity","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100422,Site Reliability Engineer,"Incident Management, Monitoring","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100423,Game Developer,"3D Modeling, Game Physics, Blender","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100424,Data Scientist,"Matplotlib, Pandas, TensorFlow, Python, Scikit-learn","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100425,Backend Developer,"Hibernate, PostgreSQL, Spring Boot","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100426,QA Engineer,"Automation, TestNG, Postman","Selenium, Postman, TestNG, JUnit, Automation, Manual Testing","QA Engineer is responsible for key tasks in software engineering involving Selenium, Postman, TestNG and more."
U100427,Frontend Developer,"JavaScript, TypeScript, CSS, HTML, Redux","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100428,Site Reliability Engineer,Grafana,"Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100429,Product Manager,MVP,"Roadmapping, User Stories, Wireframing, Stakeholder Communication, Analytics, MVP","Product Manager is responsible for key tasks in software engineering involving Roadmapping, User Stories, Wireframing and more."
U100430,AI Engineer,"NLP, Python, Neural Networks, TensorFlow, Deep Learning","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100431,Data Engineer,"Apache Spark, Hadoop, ETL","SQL, ETL, Apache Spark, Hadoop, Python, Airflow","Data Engineer is responsible for key tasks in software engineering involving SQL, ETL, Apache Spark and more."
U100432,Frontend Developer,"CSS, JavaScript, React","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100433,Data Scientist,"SQL, Scikit-learn, Matplotlib","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100434,Frontend Developer,"TypeScript, CSS, HTML, JavaScript","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100435,Game Developer,"Game Physics, Unity, Blender","Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100436,DevOps Engineer,"CI/CD, Docker, AWS, Linux, Terraform","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100437,Scrum Master,"Team Facilitation, Sprint Planning, Retrospectives, Jira","Agile, Scrum, Jira, Team Facilitation, Sprint Planning, Retrospectives","Scrum Master is responsible for key tasks in software engineering involving Agile, Scrum, Jira and more."
U100438,UI/UX Designer,"Adobe XD, Sketch","Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100439,AI Engineer,"Computer Vision, Python, Neural Networks, NLP, Deep Learning","Deep Learning, Neural Networks, Python, TensorFlow, NLP, Computer Vision","AI Engineer is responsible for key tasks in software engineering involving Deep Learning, Neural Networks, Python and more."
U100440,Machine Learning Engineer,"Scikit-learn, PyTorch, TensorFlow","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100441,Data Scientist,"Matplotlib, Python, SQL, Scikit-learn","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100442,Cybersecurity Analyst,"Python, Threat Analysis, Firewalls, Encryption","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100443,UI/UX Designer,Figma,"Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100444,Business Analyst,"Business Strategy, Excel, Power BI","Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100445,Cybersecurity Analyst,"Threat Analysis, Python, Firewalls","Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
U100446,Backend Developer,"Hibernate, PostgreSQL, Spring Boot","Java, Spring Boot, SQL, REST APIs, Hibernate, PostgreSQL","Backend Developer is responsible for key tasks in software engineering involving Java, Spring Boot, SQL and more."
U100447,Site Reliability Engineer,"Monitoring, Grafana, Incident Management, SLAs, Prometheus","Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100448,Data Scientist,"TensorFlow, Pandas, SQL","Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100449,Machine Learning Engineer,"PyTorch, TensorFlow","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100450,DevOps Engineer,"Linux, Docker","Docker, Kubernetes, CI/CD, Terraform, AWS, Linux","DevOps Engineer is responsible for key tasks in software engineering involving Docker, Kubernetes, CI/CD and more."
U100451,Frontend Developer,"HTML, JavaScript, CSS","HTML, CSS, JavaScript, React, Redux, TypeScript","Frontend Developer is responsible for key tasks in software engineering involving HTML, CSS, JavaScript and more."
U100452,Full Stack Developer,"Express.js, HTML, MongoDB, JavaScript","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100453,Game Developer,Game Physics,"Unity, C#, Unreal Engine, Blender, Game Physics, 3D Modeling","Game Developer is responsible for key tasks in software engineering involving Unity, C#, Unreal Engine and more."
U100454,Machine Learning Engineer,"Scikit-learn, TensorFlow, MLflow","Python, PyTorch, TensorFlow, Scikit-learn, MLflow, Model Deployment","Machine Learning Engineer is responsible for key tasks in software engineering involving Python, PyTorch, TensorFlow and more."
U100455,Data Scientist,TensorFlow,"Python, Pandas, TensorFlow, Scikit-learn, SQL, Matplotlib","Data Scientist is responsible for key tasks in software engineering involving Python, Pandas, TensorFlow and more."
U100456,Business Analyst,SQL,"Excel, SQL, Power BI, Tableau, Business Strategy, Stakeholder Management","Business Analyst is responsible for key tasks in software engineering involving Excel, SQL, Power BI and more."
U100457,Cloud Engineer,"Linux, IAM, Azure, Docker, AWS","AWS, Azure, CloudFormation, Docker, Linux, IAM","Cloud Engineer is responsible for key tasks in software engineering involving AWS, Azure, CloudFormation and more."
U100458,Site Reliability Engineer,Prometheus,"Monitoring, Incident Management, SLAs, Prometheus, Grafana, Kubernetes","Site Reliability Engineer is responsible for key tasks in software engineering involving Monitoring, Incident Management, SLAs and more."
U100459,Mobile App Developer,"Swift, Xcode","Kotlin, Java, Swift, Flutter, React Native, Xcode","Mobile App Developer is responsible for key tasks in software engineering involving Kotlin, Java, Swift and more."
U100460,UI/UX Designer,Adobe XD,"Figma, Sketch, Adobe XD, User Research, Prototyping, Wireframing","UI/UX Designer is responsible for key tasks in software engineering involving Figma, Sketch, Adobe XD and more."
U100461,Full Stack Developer,"Node.js, JavaScript, HTML, React","JavaScript, Node.js, React, MongoDB, Express.js, HTML","Full Stack Developer is responsible for key tasks in software engineering involving JavaScript, Node.js, React and more."
U100462,Cybersecurity Analyst,Python,"Network Security, Firewalls, SIEM, Threat Analysis, Encryption, Python","Cybersecurity Analyst is responsible for key tasks in software engineering involving Network Security, Firewalls, SIEM and more."
